               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05896,            0.028611,            0.023462,             0.77892,             0.67958,             0.76098,             0.38539,            0.035334,            0.016286,           0.0093639,            0.070012,            0.003332,            0.003332
                   1,            0.045344,            0.023422,            0.012152,             0.87225,             0.72896,             0.83793,              0.4762,            0.031477,            0.015392,           0.0073013,             0.03999,           0.0066433,           0.0066433
                   2,            0.043032,            0.023389,            0.011074,             0.87603,             0.72223,             0.82706,             0.46872,            0.031484,            0.015746,           0.0077537,           0.0099464,           0.0099326,           0.0099326
                   3,            0.041383,            0.023147,            0.010546,             0.88519,             0.74932,             0.85363,             0.49859,             0.03007,             0.01518,           0.0064472,            0.009901,            0.009901,            0.009901
                   4,            0.039348,            0.022132,           0.0094506,             0.88957,             0.78096,             0.86932,             0.52187,            0.028881,            0.014635,           0.0060697,            0.009901,            0.009901,            0.009901
                   5,            0.038384,            0.021982,           0.0089794,             0.89827,             0.78224,             0.87581,             0.53318,            0.028289,             0.01436,           0.0058399,            0.009868,            0.009868,            0.009868
                   6,            0.037624,            0.021516,           0.0085434,             0.91036,             0.78488,             0.88411,             0.54469,            0.027799,            0.014189,           0.0058123,            0.009835,            0.009835,            0.009835
                   7,            0.036942,            0.021287,           0.0082516,              0.9081,             0.80163,             0.88782,             0.55158,            0.027503,            0.014046,           0.0053636,            0.009802,            0.009802,            0.009802
                   8,            0.036595,            0.021046,           0.0079823,             0.90937,             0.80268,             0.89549,             0.56343,            0.027064,            0.013827,           0.0051778,            0.009769,            0.009769,            0.009769
                   9,            0.036462,            0.020896,           0.0078584,             0.90782,             0.80778,             0.89526,              0.5654,            0.026805,             0.01378,           0.0051015,            0.009736,            0.009736,            0.009736
                  10,            0.036094,            0.020749,            0.007754,             0.91375,              0.8077,             0.89931,             0.56999,            0.026573,            0.013671,           0.0048818,            0.009703,            0.009703,            0.009703
                  11,            0.035834,             0.02081,           0.0075156,             0.91573,             0.81069,             0.89908,              0.5729,            0.026392,            0.013572,           0.0048443,             0.00967,             0.00967,             0.00967
                  12,             0.03557,            0.020675,           0.0074795,             0.91294,             0.82302,             0.90421,             0.57798,            0.026164,            0.013471,           0.0049794,            0.009637,            0.009637,            0.009637
                  13,            0.035458,            0.020557,           0.0074209,             0.91088,             0.82256,             0.90356,             0.58151,            0.026095,            0.013449,           0.0050097,            0.009604,            0.009604,            0.009604
                  14,            0.035314,            0.020511,           0.0072399,             0.91759,             0.82473,             0.90496,             0.58262,            0.026108,             0.01339,           0.0049498,            0.009571,            0.009571,            0.009571
                  15,            0.035112,            0.020474,           0.0072274,             0.91837,             0.82766,             0.90665,              0.5868,            0.025901,             0.01336,           0.0049072,            0.009538,            0.009538,            0.009538
                  16,            0.034962,            0.020349,            0.007092,             0.91718,             0.82851,             0.90724,             0.58853,            0.025758,            0.013325,           0.0048825,            0.009505,            0.009505,            0.009505
                  17,            0.034829,            0.020249,           0.0070907,             0.91612,             0.83263,              0.9089,             0.59012,             0.02562,             0.01328,           0.0048199,            0.009472,            0.009472,            0.009472
                  18,              0.0348,            0.020238,           0.0070372,             0.92026,             0.83297,             0.91003,             0.59131,            0.025498,             0.01325,           0.0048563,            0.009439,            0.009439,            0.009439
                  19,            0.034755,            0.020143,           0.0069204,             0.91408,             0.83894,             0.90948,             0.59254,             0.02545,            0.013242,           0.0048522,            0.009406,            0.009406,            0.009406
                  20,            0.034653,            0.020152,           0.0068507,              0.9132,             0.84102,             0.91108,             0.59401,            0.025381,            0.013219,           0.0048092,            0.009373,            0.009373,            0.009373
                  21,            0.034558,            0.020016,           0.0068107,             0.91377,             0.84196,             0.91212,             0.59414,            0.025342,            0.013201,           0.0048456,             0.00934,             0.00934,             0.00934
                  22,            0.034407,            0.019955,           0.0067517,             0.91338,             0.84173,              0.9119,             0.59542,            0.025271,             0.01319,            0.004787,            0.009307,            0.009307,            0.009307
                  23,            0.034381,            0.020085,           0.0067428,             0.91426,             0.84271,             0.91223,             0.59639,            0.025225,            0.013177,           0.0047509,            0.009274,            0.009274,            0.009274
                  24,             0.03432,            0.019989,           0.0067138,             0.91384,             0.84491,             0.91302,             0.59728,            0.025188,            0.013169,            0.004735,            0.009241,            0.009241,            0.009241
                  25,            0.034296,            0.020027,           0.0066653,             0.91436,             0.84474,             0.91304,             0.59841,            0.025142,            0.013154,           0.0047232,            0.009208,            0.009208,            0.009208
                  26,            0.034146,            0.019951,           0.0066276,             0.91584,             0.84511,             0.91295,             0.59893,            0.025099,            0.013137,           0.0047145,            0.009175,            0.009175,            0.009175
                  27,            0.034112,            0.019864,           0.0066556,             0.91581,             0.84595,             0.91296,             0.59965,            0.025071,            0.013128,           0.0046923,            0.009142,            0.009142,            0.009142
                  28,            0.034017,            0.019883,           0.0065748,             0.91558,             0.84671,             0.91342,             0.59997,            0.025046,            0.013122,           0.0046813,            0.009109,            0.009109,            0.009109
                  29,            0.033866,            0.019837,           0.0065217,             0.91715,             0.84618,             0.91369,              0.6005,            0.025028,            0.013114,           0.0046825,            0.009076,            0.009076,            0.009076
                  30,             0.03402,            0.019768,            0.006643,             0.91722,             0.84597,             0.91334,             0.60063,            0.025001,            0.013105,           0.0046714,            0.009043,            0.009043,            0.009043
                  31,            0.033801,            0.019925,           0.0064387,             0.91634,             0.84651,             0.91363,              0.6012,            0.024974,            0.013097,           0.0046635,             0.00901,             0.00901,             0.00901
                  32,            0.033866,             0.01978,           0.0065335,             0.91632,             0.84747,             0.91429,             0.60153,             0.02495,            0.013089,           0.0046533,            0.008977,            0.008977,            0.008977
                  33,            0.033713,            0.019632,           0.0064633,             0.91651,             0.84753,             0.91473,               0.602,            0.024929,            0.013084,           0.0046445,            0.008944,            0.008944,            0.008944
                  34,            0.033775,             0.01976,           0.0064035,              0.9175,             0.84708,             0.91459,             0.60209,            0.024906,            0.013077,           0.0046382,            0.008911,            0.008911,            0.008911
                  35,            0.033614,            0.019596,           0.0063318,             0.91759,             0.84657,             0.91453,             0.60233,            0.024892,            0.013073,           0.0046293,            0.008878,            0.008878,            0.008878
                  36,            0.033594,             0.01966,           0.0063818,             0.91656,             0.84689,             0.91436,             0.60274,            0.024877,            0.013067,           0.0046261,            0.008845,            0.008845,            0.008845
                  37,            0.033713,            0.019641,           0.0064304,             0.91671,             0.84817,             0.91438,             0.60288,            0.024863,            0.013059,           0.0046293,            0.008812,            0.008812,            0.008812
                  38,            0.033566,            0.019545,           0.0062743,             0.91773,             0.84745,             0.91423,             0.60307,            0.024846,            0.013053,           0.0046246,            0.008779,            0.008779,            0.008779
                  39,            0.033537,            0.019534,           0.0063335,             0.91809,             0.84738,             0.91434,             0.60331,            0.024831,            0.013047,           0.0046217,            0.008746,            0.008746,            0.008746
                  40,             0.03344,              0.0196,           0.0062343,             0.91802,              0.8473,             0.91419,             0.60373,            0.024818,            0.013043,           0.0046244,            0.008713,            0.008713,            0.008713
                  41,            0.033503,            0.019504,           0.0062738,             0.91662,              0.8482,             0.91387,             0.60389,              0.0248,            0.013038,           0.0046302,             0.00868,             0.00868,             0.00868
                  42,            0.033466,             0.01954,           0.0062324,             0.91666,             0.84778,             0.91378,             0.60404,            0.024781,            0.013031,           0.0046333,            0.008647,            0.008647,            0.008647
                  43,            0.033334,            0.019415,           0.0062382,             0.91745,             0.84814,             0.91394,             0.60408,            0.024765,            0.013027,           0.0046349,            0.008614,            0.008614,            0.008614
                  44,            0.033266,            0.019389,           0.0062262,             0.91739,             0.84789,             0.91391,              0.6044,            0.024754,             0.01302,           0.0046333,            0.008581,            0.008581,            0.008581
                  45,            0.033225,            0.019387,           0.0062488,             0.91796,              0.8474,             0.91437,             0.60492,            0.024738,            0.013013,            0.004631,            0.008548,            0.008548,            0.008548
                  46,            0.033274,            0.019382,           0.0061952,             0.91749,             0.84753,             0.91402,             0.60498,            0.024721,            0.013007,           0.0046327,            0.008515,            0.008515,            0.008515
                  47,            0.033351,            0.019403,            0.006137,             0.91805,             0.84782,             0.91411,             0.60527,            0.024703,            0.013001,           0.0046274,            0.008482,            0.008482,            0.008482
                  48,            0.033093,            0.019354,           0.0061886,             0.91845,             0.84732,             0.91434,             0.60585,            0.024678,            0.012995,           0.0046253,            0.008449,            0.008449,            0.008449
                  49,            0.033182,            0.019355,           0.0061832,              0.9183,             0.84735,             0.91437,             0.60577,             0.02466,            0.012991,           0.0046307,            0.008416,            0.008416,            0.008416
                  50,            0.033066,            0.019449,           0.0061147,             0.91907,             0.84754,             0.91459,             0.60612,            0.024645,            0.012984,            0.004625,            0.008383,            0.008383,            0.008383
